"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"3322",1,3,0,1,10,14,3,6,9,8,8,3,1,1,0,0,1,0,0
"3323",2,1,2,0,12,8,6,3,12,13,5,1,3,3,0,0,0,0,1
"3324",0,2,0,0,13,19,2,7,9,6,3,7,2,0,0,0,1,0,0
"3325",1,2,1,2,24,8,11,3,12,14,9,3,3,2,0,0,1,0,0
"3326",2,1,0,1,7,12,3,4,16,9,5,5,2,2,0,0,0,0,1
"3327",2,0,1,0,23,10,10,2,7,11,10,4,1,4,0,0,0,0,1
"3328",3,1,2,1,10,9,6,4,17,10,2,3,1,3,0,0,0,0,1
"3329",0,0,0,0,18,3,3,1,15,13,6,1,3,3,0,0,0,1,0
"3330",0,0,0,0,14,12,4,3,14,8,6,3,1,0,0,0,0,1,0
"3331",1,0,0,0,23,11,10,3,12,8,13,9,1,3,0,0,0,0,1
"3332",2,2,1,2,8,14,3,5,8,15,3,8,3,2,0,0,0,1,0
"3333",0,0,0,0,15,8,3,1,9,16,11,3,2,3,0,0,0,1,0
"3334",1,0,0,0,7,15,3,2,9,16,3,5,3,2,0,0,0,0,1
"3335",2,0,0,0,19,15,8,3,12,13,5,6,0,1,0,0,0,0,1
"3336",1,1,0,1,18,11,3,4,10,18,6,5,1,4,0,1,0,1,0
"3337",2,0,1,0,9,18,2,2,11,14,5,6,1,4,1,0,0,0,1
"3338",3,0,0,0,21,7,8,2,11,5,5,0,2,2,0,0,0,0,1
